,name,categories,address,phone_number
0,Rivers and Roads Coffee,"['Coffee & Tea', 'Breakfast & Brunch', 'Gluten-Free']","2539 E Bruce Randolph Ave, Denver, CO 80205",(303) 321-3052
4,Nola Voodoo Tavern,"['Cafes', 'Bars', 'Seafood']","2231 E Bruce Randolph, Denver, CO 80205",(720) 389-9544
8,Singletrack Painting,['Painters'],"3233 Madison St, Denver, CO 80205",(303) 941-0191
12,Prodigy Coffeehouse,"['Coffee & Tea', 'Cafes']","3801 E 40th Ave, Denver, CO 80205",(720) 441-3187
16,YellowDog,"['Printing Services', 'Marketing', 'Graphic Design']","3881 Steele St, Unit A, Denver, CO 80205",(303) 765-2000
20,3 Girasoles,['Mexican'],"2940 E Bruce Randolph Ave, Denver, CO 80205",(720) 690-3836
24,Fed's Automotive,['Auto Repair'],"3041 Bruce Randolph Ave, Denver, CO 80205",(720) 323-6809
28,Jack Rabbit Slims,"['Pizza', 'Sports Bars']","2222 Bruce Randolph Ave, Denver, CO 80205",(303) 379-9369
32,Hackl Guitars,['Guitar Stores'],"3139 Milwaukee St, Denver, CO 80205",(720) 998-7663
36,Fireplace Warehouse ETC,['Fireplace Services'],"3827 Steele St, Ste B, Denver, CO 80205",(303) 296-3823
40,Core Contractors,"['Roofing', 'Gutter Services']","4049 St Paul St, Denver, CO 80216",(303) 997-1559
44,The Colorado Pig Rig,"['Food Trucks', 'Barbeque', 'Tacos']","3600 E 40th Ave, Ste 16, Denver, CO 80205",(303) 999-7929
48,Native Campervans,['RV Rental'],"2919 E 42nd Ave, Denver, CO 80216",(877) 550-5335
52,Family Movers,['Movers'],"3893 N Steele St, Denver, CO 80205",(303) 944-0800
56,Lucero's,['Mexican'],"3657 Fillmore St, Denver, CO 80205",(303) 322-1662
60,KT's BBQ,['Barbeque'],"4030 Colorado Blvd, Denver, CO 80216",(303) 355-5483
64,Eco Express Car Wash,['Car Wash'],"4075 Colorado Blvd, Denver, CO 80216",(303) 399-9274
68,Tighe Brothers Distillery,['Distilleries'],"4200 Milwaukee St, Denver, CO 80216",(303) 635-6177
72,Park Hill Supermarket,"['Grocery', 'Seafood Markets']","3770 E 40th Ave, Denver, CO 80205",(303) 823-3088
76,Jackie Zoeller Photography,['Session Photography'],"1665 Grant St, Denver, CO 80203",(720) 509-9228
80,Agnes of Glass Studio Gallery,"['Art Galleries', 'Glass Blowing']","2717 E 40th Ave, Denver, CO 80205",(303) 399-4066
84,Goin South,['Food Trucks'],"Denver, CO 80205",(972) 975-0049
88,Parkhill Nails,"['Nail Salons', 'Waxing']","4000 Colorado Blvd, Ste 102, Denver, CO 80216",(303) 355-6666
92,Lion Stoneworks,"['Kitchen & Bath', 'Countertop Installation']","3875 Steele St, Unit E, Denver, CO 80205",(720) 328-1445
96,Ho Mei No 2,['Chinese'],"3260 Colorado Blvd, Denver, CO 80207",(303) 355-5401
100,Allstar Electrical Services,['Electricians'],"3311 E 42nd Ave, Denver, CO 80216",(303) 399-7420
104,Expert Exteriors,"['Roofing', 'Gutter Services', 'Insulation Installation']","3899 Jackson St, Unit 1, Denver, CO 80205",(303) 960-2783
108,Inner City Health Center,"['Medical Centers', 'Dentists', 'Counseling & Mental Health']","3800 York St, Denver, CO 80205",(303) 296-1767
112,Manuel Tacos Y Quesadillas,['Mexican'],"2730 Bruce Randolph Ave, Denver, CO 80205",(720) 492-5648
116,Jim's Liquors,"['Beer, Wine & Spirits']","3101 Bruce Randolph Ave, Denver, CO 80205",(720) 328-4460
120,Wavy Barber Shop,['Barbers'],"3101 Josephine St, Denver, CO 80205",(303) 728-9570
124,Starbucks,['Coffee & Tea'],"4030 Colorado Blvd, Ste 101, Denver, CO 80216",(303) 320-7610
128,Park Hill Barbers,['Barbers'],"3115 Bruce Randolph Ave, Denver, CO 80205",(303) 322-9095
132,AJB Granite & Marble,['Countertop Installation'],"3875 Steele St, Denver, CO 80205",(720) 503-6976
136,Wonderbound,"['Performing Arts', 'Dance Studios']","2535 E 40th Ave, Denver, CO 80205",(303) 292-4700
140,Orange Square Movers,"['Movers', 'Self Storage', 'Packing Services']","3899 Jackson St, Ste 9, Denver, CO 80205",(720) 588-4664
144,Carl's Jr,"['Burgers', 'Fast Food']","4050 Colorado Blvd, Denver, CO 80216",(720) 941-6311
148,Kin Furniture,"['Furniture Repair', 'Refinishing Services', 'Furniture Reupholstery']","3505 E 41st Ave, Denver, CO 80216",(303) 551-1576
152,Design Works,"['Florists', 'Party & Event Planning', 'Party Equipment Rentals']","3869 Steele St, Ste D, Denver, CO 80205",(720) 941-7440
156,Royal Drug,"['Beer, Wine & Spirits']","2239 Bruce Randolph Ave, Denver, CO 80205",(303) 295-2477
160,Dive Volleyball and Sports Center,"['Amateur Sports Teams', 'Sports Clubs']","3899 N Jackson St, Denver, CO 80205",(303) 818-1787
164,O'Reilly Auto Parts,['Auto Parts & Supplies'],"2887 North Colorado Blvd, Denver, CO 80207",(303) 333-2611
168,Tacos & Ranchitos,['Mexican'],"2240 Bruce Randolph Ave, Denver, CO 80205",(303) 295-0006
172,Orgyen Khamdroling,"['Yoga', 'Buddhist Temples', 'Meditation Centers']","3300 Josephine St, Denver, CO 80205",(303) 886-9483
176,Urban Survival Fitness & Wellness,"['Gyms', 'Trainers', 'Boot Camps']","4025 Steele St, Denver, CO 80216",(303) 668-0325
180,Walgreens,"['Drugstores', 'Convenience Stores', 'Cosmetics & Beauty Supply']","3555 N Colorado Blvd, Denver, CO 80205",(303) 320-7847
184,Extravagant Services,"['Auto Detailing', 'Car Wash']","4134 Garfield St, Denver, CO 80216",(720) 909-1354
188,Elevation 5280: Street Food Elevated,['Food Trucks'],"3600 E 40th Ave, Denver, CO 80205",(720) 473-9673
192,Larimer Catering,"['Caterers', 'Food Delivery Services']","3600 E 40th Ave, Ste 007, Denver, CO 80205",(303) 295-7799
196,SOS Catering,"['Vegan', 'Food Trucks', 'Caterers']","3600 E 40th Ave, Denver, CO 80128",(970) 313-3874
400,Moore Collection,"[""Men's Clothing"", ""Women's Clothing"", 'Hats']","3851 Steele St, Unit C, Denver, CO 80205",(720) 353-3733
404,Clayton Early Learning,['Preschools'],"3801 Martin Luther King Blvd, Denver, CO 80205",(303) 355-4411
408,Giza Stone Works,['Countertop Installation'],"3875 Steele St, Unit E, Denver, CO 80205",(303) 390-1723
412,Mr A's Restaurant & Lounge,['Lounges'],"3200 E 40th Ave, Denver, CO 80205",(303) 322-9005
416,Bao Chicka Bao Bao,"['Food Trucks', 'Asian Fusion', 'Sandwiches']","3600 E 40th Ave, Denver, CO 80205",(303) 525-4949
420,Domino's Pizza,"['Pizza', 'Chicken Wings', 'Sandwiches']","4030 Colorado Blvd, Unit 102, Denver, CO 80216",(303) 377-5858
424,Denver Storage Solutions,['Self Storage'],"3893 Steele St, Denver, CO 80205",(303) 296-7261
428,Lucky Mary's Baking and Sweets Company,"['Cupcakes', 'Custom Cakes', 'Desserts']","3600 E 40th Ave, Denver, CO 80205",(303) 895-0343
432,3D Data Pro,"['Architects', 'Structural Engineers', 'Private Investigation']","Denver, CO 80205",(970) 331-4852
436,303 Magazine,"['Advertising', 'Marketing']","Denver, CO 80205",(303) 888-5455
440,Bits & Pieces Con Cerveza,"['Food Trucks', 'Mexican']","3600 E 40th Ave, Denver, CO 80205",(702) 467-8234
444,The Road Runner,"['Food Trucks', 'Mexican']","3600 east 40th ave, Denver, CO 80206",(720) 394-9755
448,World Trade Center Denver,['Community Service/Non-Profit'],"2650 E 40th Ave, Denver, CO 80205",(303) 592-5760
452,Macedonia Baptist Church,['Churches'],"3240 Adams St, Denver, CO 80205",(303) 377-8821
456,Colorado Garage Door Service,['Garage Door Services'],"4235 Thompson Ct, Denver, CO 80216",(303) 292-3667
460,Pizza Hut,"['Pizza', 'Italian', 'Chicken Wings']","3200 Colorado Blvd, Denver, CO 80207",(303) 394-4814
464,Church's Chicken,"['Chicken Wings', 'Fast Food']","3401 Colorado Blvd, Denver, CO 80205",(303) 333-2649
468,Fire Departments,['Fire Departments'],"Denver, CO 80205",(720) 913-3473
